Date,Rate,CGST%,Qty,CGST,SGST%,SGST,SlNo,Amount,IGST%,Qty,Item Name,IGST,Invoice No
12-04-24,4.66,9.00,0,20.97,9.00,20.97,190,274.94,0.00,50.00,VAY BAND REALWOOD LIGHT MAT,0.00,0
12-04-24,4.66,9.00,50,20.97,9.00,20.97,191,274.94,0.00,50.00,VAY BAND 19071,0.00,50
12-04-24,4.66,9.00,0,20.97,9.00,20.97,192,274.94,0.00,50.00,VAY BAND 1043 (0.5 MM),0.00,0
12-04-24,4.66,9.00,5200,20.97,9.00,20.97,193,274.94,0.00,50.00,VAY BAND 1873,0.00,5200
12-04-24,4.66,9.00,300,20.97,9.00,20.97,194,274.94,0.00,50.00,VAY BAND 19079,0.00,300
12-04-24,4.66,9.00,1450,20.97,9.00,20.97,195,274.94,0.00,50.00,VAY BAND 19074,0.00,1450
12-04-24,6.99,9.00,23700,62.91,9.00,62.91,196,824.82,0.00,100.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
12-04-24,6.99,9.00,5350,31.46,9.00,31.46,197,412.42,0.00,50.00,VAY BAND 1261HG (DARK GREY),0.00,5350
12-04-24,6.99,9.00,23700,94.36,9.00,94.36,198,1237.22,0.00,150.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
12-04-24,11.03,9.00,2700,49.64,9.00,49.64,199,650.78,0.00,50.00,VAY BAND 10485 40MM,0.00,2700
16-04-24,3.60,9.00,10050,16.20,9.00,16.20,200,212.40,0.00,50.00,VB-1313MT(0.45MMX22MM),0.00,10050
16-04-24,3.60,9.00,9150,97.20,9.00,97.20,201,1274.40,0.00,300.00,VB-1261 MAT(0.45MMX22MM),0.00,9150
16-04-24,3.60,9.00,9150,16.20,9.00,16.20,202,212.40,0.00,50.00,VB-1261 MAT(0.45MMX22MM),0.00,9150
16-04-24,3.60,9.00,6750,81.00,9.00,81.00,203,1062.00,0.00,250.00,VB-1121 IVORY (0.45MMX22MM),0.00,6750
16-04-24,3.60,9.00,0,81.00,9.00,81.00,204,1062.00,0.00,250.00,VB-1011 MT(0.45MMX22MM),0.00,0
16-04-24,3.94,9.00,15550,53.19,9.00,53.19,205,697.38,0.00,150.00,VB-1803 ASH DARK(0.45MMX22MM),0.00,15550
16-04-24,3.94,9.00,15550,35.46,9.00,35.46,206,464.92,0.00,100.00,VB-1803 ASH DARK(0.45MMX22MM),0.00,15550
